name,language,phase,time_sec,memory_mb,output
fibonacci 20,Go,run,0.003067,1.79296875,6765
fibonacci 20,Go,run,0.002954,1.7578125,6765
fibonacci 20,Go,run,0.002804,1.7421875,6765
fibonacci 20,Go,run,0.003346,1.7421875,6765
fibonacci 20,Go,run,0.0026959999999999996,1.74609375,6765
fibonacci 20,Go,run,0.002811,1.74609375,6765
fibonacci 20,Go,run,0.002705,1.72265625,6765
fibonacci 20,Go,run,0.0026119999999999997,1.7421875,6765
fibonacci 20,Go,run,0.002673,1.74609375,6765
fibonacci 20,Haskell,compile,1.395794,99.40234375,"[1 of 1] Compiling Main             ( main.hs, main.o )
Linking main ..."
fibonacci 20,Haskell,run,0.007279,3.5703125,6765
fibonacci 20,Haskell,run,0.006422,3.57421875,6765
fibonacci 20,Haskell,run,0.005545,3.578125,6765
fibonacci 20,Haskell,run,0.005482,3.57421875,6765
fibonacci 20,Haskell,run,0.007008,3.57421875,6765
fibonacci 20,Haskell,run,0.008016,3.57421875,6765
fibonacci 20,Haskell,run,0.008014,3.578125,6765
fibonacci 20,Haskell,run,0.005398999999999999,3.5625,6765
fibonacci 20,Haskell,run,0.006817,3.578125,6765
fibonacci 20,Haskell,run,0.0065509999999999995,3.578125,6765
fibonacci 20,Java,compile,1.069501,71.265625,
fibonacci 20,Java,run,0.060504,26.078125,6765
fibonacci 20,Java,run,0.05903699999999999,26.15625,6765
fibonacci 20,Java,run,0.058464,26.18359375,6765
fibonacci 20,Java,run,0.059121,26.125,6765
fibonacci 20,Java,run,0.058013999999999996,26.015625,6765
fibonacci 20,Java,run,0.058795999999999994,26.1171875,6765
fibonacci 20,Java,run,0.057585,26.12109375,6765
fibonacci 20,Java,run,0.057269,26.15625,6765
fibonacci 20,Java,run,0.058379999999999994,26.1484375,6765
fibonacci 20,Java,run,0.05914799999999999,26.1484375,6765
fibonacci 20,Python,run,0.02573,6.453125,6765
fibonacci 20,Python,run,0.025015,6.42578125,6765
fibonacci 20,Python,run,0.024746999999999998,6.43359375,6765
fibonacci 20,Python,run,0.024919,6.4140625,6765
fibonacci 20,Python,run,0.024757,6.42578125,6765
fibonacci 20,Python,run,0.024968999999999998,6.43359375,6765
fibonacci 20,Python,run,0.024494,6.3984375,6765
fibonacci 20,Python,run,0.026983,6.375,6765
fibonacci 20,Python,run,0.024603,6.4453125,6765
fibonacci 20,Python,run,0.024723,6.43359375,6765
fibonacci 20,Ruby,run,0.089645,10.609375,6765
fibonacci 20,Ruby,run,0.089503,10.5390625,6765
fibonacci 20,Ruby,run,0.08939599999999999,10.5234375,6765
fibonacci 20,Ruby,run,0.087771,10.48828125,6765
fibonacci 20,Ruby,run,0.08735299999999999,10.53125,6765
fibonacci 20,Ruby,run,0.094522,10.45703125,6765
fibonacci 20,Ruby,run,0.09056700000000001,10.52734375,6765
fibonacci 20,Ruby,run,0.08844999999999999,10.515625,6765
fibonacci 20,Ruby,run,0.08938199999999999,10.4921875,6765
fibonacci 20,Ruby,run,0.087861,10.56640625,6765
fibonacci 30,C,compile,0.11602299999999999,29.23828125,
fibonacci 30,C,run,0.003994,0.6484375,832040
fibonacci 30,C,run,0.003786,0.6484375,832040
fibonacci 30,C,run,0.004141,0.65234375,832040
fibonacci 30,C,run,0.003706,0.640625,832040
fibonacci 30,C,run,0.0037739999999999996,0.6484375,832040
fibonacci 30,C,run,0.003833,0.640625,832040
fibonacci 30,C,run,0.0038199999999999996,0.640625,832040
fibonacci 30,C,run,0.003851,0.640625,832040
fibonacci 30,C,run,0.003738,0.640625,832040
fibonacci 30,C,run,0.003986,0.640625,832040
fibonacci 30,Go,compile,0.335507,44.41796875,
fibonacci 30,Go,run,0.0067139999999999995,1.74609375,832040
fibonacci 30,Go,run,0.006703,1.7421875,832040
fibonacci 30,Go,run,0.0064979999999999994,1.7109375,832040
fibonacci 30,Go,run,0.0065049999999999995,1.7109375,832040
fibonacci 30,Go,run,0.00641,1.74609375,832040
fibonacci 30,Go,run,0.006942,1.71484375,832040
fibonacci 30,Go,run,0.006689,1.74609375,832040
fibonacci 30,Go,run,0.006750999999999999,1.74609375,832040
fibonacci 30,Go,run,0.006555,1.74609375,832040
fibonacci 30,Go,run,0.0064659999999999995,1.74609375,832040
fibonacci 30,Haskell,compile,0.792727,85.86328125,"[1 of 1] Compiling Main             ( main.hs, main.o )
Linking main ..."
fibonacci 30,Haskell,run,0.012206999999999999,3.578125,832040
fibonacci 30,Haskell,run,0.012591,3.5625,832040
fibonacci 30,Haskell,run,0.013028999999999999,3.58203125,832040
fibonacci 30,Haskell,run,0.010698,3.578125,832040
fibonacci 30,Haskell,run,0.011074,3.5625,832040
fibonacci 30,Haskell,run,0.011387999999999999,3.578125,832040
